# Generated from assets/fonts/lucide.ttf (best cmap, PUA only)
mars-stroke	E642
martini	E2E3
maximize	E112
maximize-2	E113
medal	E36F
megaphone	E235
megaphone-off	E370
meh	E114
memory-stick	E445
menu	E115
menu-square	E453
merge	E43F
message-circle	E116
message-circle-code	E562
message-circle-dashed	E563
message-circle-heart	E564
message-circle-more	E565
message-circle-off	E566
message-circle-plus	E567
message-circle-question-mark	E568
message-circle-reply	E569
message-circle-warning	E56A
message-circle-x	E56B
message-square	E117
message-square-code	E56C
message-square-dashed	E40B
message-square-diff	E56D
message-square-dot	E56E
message-square-heart	E56F
message-square-lock	E62C
message-square-more	E570
message-square-off	E571
message-square-plus	E40C
message-square-quote	E572
message-square-reply	E573
message-square-share	E574
message-square-text	E575
message-square-warning	E576
message-square-x	E577
messages-square	E40D
mic	E118
mic-2	E349
mic-off	E119
microchip	E61A
microscope	E2E4
microwave	E37A
milestone	E298
milk	E399
milk-off	E39A
minimize	E11A
minimize-2	E11B
minus	E11C
minus-square	E171
monitor	E11D
monitor-check	E482
monitor-cloud	E699
monitor-cog	E603
monitor-dot	E483
monitor-down	E421
monitor-off	E1DC
monitor-pause	E484
monitor-play	E485
monitor-smartphone	E3A2
monitor-speaker	E210
monitor-stop	E486
monitor-up	E422
monitor-x	E487
moon	E11E
moon-star	E410
motorbike	E698
mountain	E231
mountain-snow	E232
mouse	E28E
mouse-off	E5DB
mouse-pointer	E11F
mouse-pointer-2	E1C3
mouse-pointer-2-off	E6A6
mouse-pointer-ban	E5E7
mouse-pointer-click	E120
mouse-pointer-square-dashed	E509
move	E121
move-3-d	E2E5
move-diagonal	E1C4
move-diagonal-2	E1C5
move-down	E48C
move-down-left	E48D
move-down-right	E48E
move-horizontal	E1C6
move-left	E48F
move-right	E490
move-up	E491
move-up-left	E492
move-up-right	E493
move-vertical	E1C7
music	E122
music-2	E34A
music-3	E34B
music-4	E34C
navigation	E123
navigation-2	E124
navigation-2-off	E2A7
navigation-off	E2A8
network	E125
newspaper	E348
nfc	E3C3
non-binary	E643
notebook	E595
notebook-pen	E596
notebook-tabs	E597
notebook-text	E598
notepad-text	E599
notepad-text-dashed	E59A
nut	E39B
nut-off	E39C
octagon	E126
octagon-minus	E627
octagon-pause	E21B
octagon-x	E128
omega	E619
option	E1F8
orbit	E3E7
origami	E5E3
package	E129
package-2	E340
package-check	E266
package-minus	E267
package-open	E2CC
package-plus	E268
package-search	E269
package-x	E26A
paint-bucket	E2E6
paint-roller	E59E
paintbrush	E2E7
paintbrush-2	E2E8
palette	E1DD
palmtree	E281
panda	E668
panel-bottom	E42C
panel-bottom-close	E42D
panel-bottom-dashed	E42E
panel-bottom-open	E42F
panel-left	E12A
panel-left-close	E21C
panel-left-dashed	E430
panel-left-open	E21D
panel-left-right-dashed	E692
panel-right	E431
panel-right-close	E432
panel-right-dashed	E433
panel-right-open	E434
panel-top	E435
panel-top-bottom-dashed	E693
panel-top-close	E436
panel-top-dashed	E437
panel-top-open	E438
panels-left-bottom	E12B
panels-right-bottom	E588
panels-top-bottom	E58A
paperclip	E12D
parentheses	E444
parking-meter	E500
parking-square	E3CB
parking-square-off	E3CC
party-popper	E343
pause	E12E
paw-print	E4F5
pc-case	E446
pen-off	E5EE
pen-tool	E131
pencil	E1F9
pencil-line	E4F0
pencil-off	E5EF
pencil-ruler	E4F1
pentagon	E52B
percent	E132
percent-square	E51C
person-standing	E21E
philippine-peso	E604
phone	E133
phone-call	E134
phone-forwarded	E135
phone-incoming	E136
phone-missed	E137
phone-off	E138
phone-outgoing	E139
pi	E472
pi-square	E488
piano	E561
pickaxe	E5C6
